11 Comae Berenices b,19.4,,326.03,1.29,,radial vel.,2007,360.8,2.7,4742,
11 Ursae Minoris b,10.5,,516.22,1.54,,radial vel.,2009,389.7,1.8,4340,
14 Andromedae b,4.8,,185.84,0.83,,radial vel.,2008,249.2,2.2,4813,
14 Herculis b,4.64,,1773.4,2.77,,radial vel.,2002,59.2,0.9,5311,
18 Delphini b,10.3,,993.3,2.6,,radial vel.,2008,238,2.3,4979,
1RXS J160929.1-210524 b,8,,,330,,imaging,2008,470,0.85,4060,
23 Librae c,0.82,,5000,5.8,,radial vel.,2009,72,1.1,5585,
2M1207b,4,,,46,,imaging,2004,171,0.02,,The first exoplanet discovered around a brown dwarf
2MASS J21402931+1625183 Ab,20.95,0.92,7336.5,,,imaging,2009,82,0.08,2300,
30 Arietis Bb,9.88,,335.1,0.995,,radial vel.,2009,128.6,1.16,6300,
38 Virginis b,4.51,,825.9,1.82,,radial vel.,2002,106.8,1.18,6557,
4 Ursae Majoris b,7.1,,269.3,0.87,,radial vel.,2006,252,1.23,4415,
41 Lyncis b,2.7,,184.02,0.81,,radial vel.,2007,287.9,2.1,4753,
42 Draconis b,3.88,,479.1,1.19,,radial vel.,2008,317.3,0.98,4200,
47 Ursae Majoris c,0.54,,2391,3.6,,radial vel.,2001,45.9,1.03,5892,
47 Ursae Majoris d,1.64,,14002,11.6,,radial vel.,2009,45.9,1.03,5892,
54 Piscium b,0.229,,62.218,0.295,,radial vel.,2003,36,0.88,5221,
55 Cancri c,0.1714,,44.4175,0.241376,,radial vel.,2004,40.9,0.91,5196,
55 Cancri d,3.878,,4825,5.503,,radial vel.,2002,40.9,0.91,5196,
55 Cancri e,0.02542,0.17,0.736539,0.01544,,radial vel.,2004,40.9,0.91,5196,
55 Cancri f,0.141,,262,0.788,,radial vel.,2007,40.9,0.91,5196,
6 Lyncis b,2.21,,874.774,2.18,,radial vel.,2008,185.7,1.7,4978,
61 Virginis b,0.016,,4.215,0.050201,,radial vel.,2009,27.8,0.94,5577,
61 Virginis c,0.057,,38.021,0.2175,,radial vel.,2009,27.8,0.94,5577,
61 Virginis d,0.072,,123.01,0.476,,radial vel.,2009,27.8,0.94,5577,
79 Ceti b,0.26,,75.523,0.363,,radial vel.,2000,117.1,1.12,5794,
81 Ceti b,5.3,,952.7,2.5,,radial vel.,2008,317.0,2.4,4785,
83 Leonis Bb,0.079,,17.054,0.123,,radial vel.,2004,182,0.85,4929,
91 Aquarii b,3.2,,181.4,0.7,,radial vel.,2003,148.5,1.4,4665,
94 Ceti Ab,1.37,,466.2,1.305,,radial vel.,2003,73.0,1.36,6188,
AB Pictoris b,13.5,,,260,,imaging,2005,148.5,,,
BD+14 4559 b,1.47,,268.94,0.777,,radial vel.,2009,163.2,0.86,5008,
BD+20 2457 b,21.42,,379.63,1.45,,radial vel.,2009,650 ± 330,2.8,4137,
BD+20 2457 c,12.47,,621.99,2.01,,radial vel.,2009,650 ± 330,2.8,4137,
BD-08 2823 b,0.045,,5.6,0.056,,radial vel.,2009,137.3,0.74,4746,
BD-08 2823 c,0.33,,237.6,0.68,,radial vel.,2009,137.3,0.74,4746,
BD-10 3166 b,0.458,,3.48777,0.0452,,radial vel.,2000,260,1.01,5393,
BD-17 63 b,5.1,,655.6,1.34,,radial vel.,2008,122.4,0.74,4714,
Beta Pictoris b,,,7665,9.1,,imaging,2008,62.9,1.76,,
Chi Virginis b,11.09,,835.477,2.14,,radial vel.,2009,290,2.17,4445,
CHXR 73 b,12.569,,,210,,imaging,2006,550,0.35,,
CT Chamaeleontis b,17,2.2,,440,,imaging,2007,540,,,
COROT-1b,1.03,1.49,1.5089557,,,transit,2008,1560,0.95,5950,
COROT-2b,3.47,1.466,1.7429935,0.02798,,transit,2007,650,0.96,5625,
COROT-3b,21.66,1.01,4.2568,,,transit,2008,2200,1.37,6740,
COROT-4b,0.72,1.19,9.20205,0.09,,transit,2008,2507 ± 205,1.16,6190,
COROT-5b,0.467,1.388,4.0378962,0.04947,,transit,2009,1304,1,6100,
